08月28日 20:40	YANZiKAii	妈的怎么全是昆山海龙哥？佛了 ​
09月01日 18:51	第五空间基金会	#昆山事件属正当防卫#大快人心，众望所归。 恭喜龙哥C位出殡 ​
09月01日 18:51	老不死的渔夫	『警方通报“昆山砍人案”情况:于海明的行为属正当防卫 - 21财经』O警方通报“昆山砍人案”情况:于海明的行为属正当防卫 ​
09月01日 18:51	晨妈小平	《警方:于海明的行为属于正当防卫 公安机关依法撤销于海明案件》据昆山市公安局通报，针对倍受关注的宝马司机被“反杀”案，警方已经撤案。O警方:于海明的行为属于正当防卫 公安机关依法撤销于海明案件 ​
09月01日 18:51	ynsf土豆	警方通报“昆山砍人案”：于海明行为属于正当防卫，不负刑事责任 ​
09月01日 18:51	谦言益语	今天，无论是微博还是微信朋友圈，都被“昆山于海明正当防卫案”的通报刷屏，民众这种兴奋程度不亚于奥运夺金，因为这些年似乎正义来的太少太迟了！好在，虽然正义会迟到，但总算这次没有缺席。祝愿我们国家的法制建设会越来越好，人民生活更加安全幸福 ​
09月01日 18:51	揭东检察	为什么认定于海明的行为属于正当防卫？ 江苏检察机关作出详解 | 普法课堂 第35期正当防卫？防卫过当？还是故意伤害致死？备受社会舆论关注的江苏省昆山市“8·27”于海明致刘海龙死亡案有了结果。9月1日下午，江苏省昆山市公安局和江苏省昆山市检察院相继发布通报，认定于海明的行为属于正当防卫，不负 ​ 展开全文c
09月01日 18:50	朱门酒肉香	发布了头条文章：《苍天有眼！昆山“白衣侠士”反杀“龙哥”无罪》 O苍天有眼！昆山“白衣侠士”反杀“龙哥”无罪 ​
09月01日 18:50	李孜學	这是对社会的回馈！2018年9月1日，昆山市公安机关以于海明的行为属于正当防卫、不负刑事责任为由对该案作出撤销案件决定。 ​
09月01日 18:50	XCJ6175	昆山砍人案已经定性为白衣义士“于海明”属于正当防卫，不许追究刑事责任。给江苏警方点赞👍『警方通报』O警方通报 ​
09月01日 18:50	云南反邪教	【为什么认定于海明的行为属于正当防卫？ —— 关于昆山“8.27”案件的分析意见】正当防卫？防卫过当？还是故意伤害致死？备受社会舆论关注的昆山市“8.27”于海明致刘海龙（所谓的“天安社”“龙哥”）死亡案有了结果。9月1日下午，昆山市公安局和检察院相继发布通报，认定于海明的行为属于正当防卫， ​ 展开全文c
09月01日 18:50	奔跑的竹子	2018年9月1日，昆山市公安机关以于海明的行为属于正当防卫、不负刑事责任为由对该案作出撤销案件决定 ​
09月01日 18:50	太原人不知道的事儿	【警方通报“昆山砍人案”：于海明的行为属于正当防卫，不负刑事责任】2018年8月27日昆山市震川路于海明致刘海龙死亡案，备受社会舆论关注。公安机关经过缜密侦查，并商请检察机关提前介入，现就该案件调查处理情况予以通报↓↓ ​
09月01日 18:50	武汉新闻快递员	@人民日报 :【警方通报“昆山砍人案”：于海明的行为属于正当防卫，不负刑事责任】警方通报↓↓↓O警方通报 ​​​@昆山公安 ​
09月01日 18:50	红德智库官方	检察院权威解读：为什么于海明反杀“宝马男”的行为属于正当防卫？ | 正当防卫？防卫过当？还是故意伤害致死？备受社会舆论关注的昆山市“8.27”于海明致刘海龙死亡案有了结果。9月1日下午，昆山市公安局和检察院相继发布通报，认定于海明的行为属于正当防卫，不... O网页链接 ​
09月01日 18:49	一网为天下	#微发布# 2018年8月27日昆山市震川路于海明致刘海龙死亡案，备受社会舆论关注。公安机关经过缜密侦查，并商请检察机关提前介入，现就该案件调查处理情况予以通报。 ​
09月01日 18:49	FStt飘	所以说，不要太欺负人，有时把老实人逼急了搞不好就纹身男的下场。看多了网络上曝出的街头打架地铁吵架的事，觉得这个社会还是以和为贵的好，多礼让、多理解。昆山龙哥租着不到50平方公寓、贷款二手宝马、装什么🐂X人啊。 2佛山 · 桂城街区 ​
09月01日 18:49	紅塵hongcen	【昆山“反杀”事件检察院通报：属正当防卫，公安机关撤案符合规定】据昆山市检察院，2018年8月27日晚，江苏省昆山市震川路发生的于海明致刘海龙死亡案，引起社会广泛关注。昆山市公安机 检察院通报昆山反杀案：属正当防卫 公安机关撤案#UC头条# O网页链接 ​
09月01日 18:49	优格666	@法制晚报 2018年8月27日昆山市震川路于海明致刘海龙死亡案，备受社会舆论关注。公安机关经过缜密侦查，并商请检察机关提前介入，现就该案件调查处理情况予以通报。 ​ 2吉林 · 东城街区 ​
09月01日 18:49	王莎律师	#昆山事件属正当防卫#很重要一点，龙哥致命伤是白衣大哥防卫时候导致，而追砍的两刀，都没砍中。不过这是很好的为正当防卫做出辩护的一个案例，可以参考。 ​
09月01日 18:49	云南共青团	#昆山事件属正当防卫#【人民日报：每一次司法公正都会温润人心】“于海明的行为属于正当防卫”，众望所归！捍卫了法治，振奋了人心。激活正当防卫制度的适用，就能及时保障当事人的合法权益，有力震慑犯罪分子。法律不是镌刻在大理石上，而是铭刻在公民心中，让公民沐浴正义之光，让法治温润公民信 ​ 展开全文c
09月01日 18:49	泥雪战壕困科京	正当防卫认定，免于起诉。2018年9月1日，昆山市公安机关以于海明的行为属于正当防卫、不负刑事责任为由对该案作出撤销案件决定。检察机关认为：我国刑法第二十条第三款规定“对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属 ​ 展开全文c
09月01日 18:49	rxl7499	//分享网易新闻:《警方通报"昆山反杀案":骑车男子的行为属正当防卫》 O警方通报"昆山砍人案"：于海明的行为属正当防卫 @网易新闻客户端 #网易新闻# ​
09月01日 18:49	喝茶观景	于海明为民除害，昆山公安公正执法，必须为他们点赞👍『昆山公安微警务』O警方通报 ​
09月01日 18:49	牛栏山百年	《江苏检方析昆山砍人案：于海明为何属于正当防卫？-中国新闻网》9月1日下午，昆山市公安局和检察院相继发布通报，认定于海明的行为属于正当防卫，不负刑事责任。O网页链接 ​
09月01日 18:49	进击的小二万	#昆山事件属正当防卫#龙哥，一个底层黑社会，推动了法制建设，应该评为感动地狱人物。 ​
09月01日 18:49	皖北正义君	【为什么认定骑车男的行为属于正当防卫？江苏检方给了4点意见】9月1日下午，昆山公安局和昆山检察院相继认定于海明的行为属于正当防卫，不负刑事责任。认定依据主要有四点：1.刘海龙挑起事端、过错在先。2.于海明正面临严重危及人身安全的现实危险。3.于海明抢刀反击的行为属于情急下的正常反应，符合 ​ 展开全文c
09月01日 18:49	山西卫视	【警方通报“昆山砍人案”：于海明的行为属于正当防卫，不负刑事责任】警方通报↓↓↓ ​
09月01日 18:49	关注民生法学硕士	我发表了头条文章:《警方通报昆山砍人案：于海明属正当防卫，不负刑事责任》 O警方通报昆山砍人案：于海明属正当防卫，不负刑事责任 ​
09月01日 18:49	骨科医生刘东昕	[新闻直播间]江苏昆山警方通报于海明案 于海明行为属正当防卫 依法撤案 L[新闻直播间]江苏昆山警方通报于海明案 于海明行为属正当防卫 依法撤案 ​
09月01日 18:48	新浪江西	#昆山事件属正当防卫#【为什么于海明的行为属于正当防卫？江苏检方给了4点分析意见】①刘海龙挑起事端、过错在先。②于海明正面临严重危及人身安全的现实危险。③于海明抢刀反击的行为属于情急下的正常反应，符合特殊防卫要求。④从正当防卫的制度价值看，应当优先保护防卫者。 ​
09月01日 18:48	镇平生活	【警方通报“昆山砍人案”：于海明的行为属于正当防卫，不负刑事责任】8月27日，昆山市震川路于海明致刘海龙死亡案，引起社会广泛关注。今日昆山公安机关通报称：电动车主于海明的行为属于正当防卫，不负刑事责任，公安机关依法撤销于海明案件。#昆山事件属正当防卫# ​
09月01日 18:48	主播张东	【警方通报！昆山砍人案于海明属正当防卫，不负刑事责任】2018年8月27日昆山市震川路于海明致刘海龙死亡案，备受社会舆论关注。公安机关经过缜密侦查，并商请检察机关提前介入，现就该案件调查处理情况予以通报。于海明的行为属于正当防卫，不负刑事责任，公安机关依法撤销于海明案件。 ​ 展开全文c
09月01日 18:48	郑凯MK	大学室友，现在一线检察官，我刚问了他对昆山龙哥的看法，他认为这是司法的进步！ ​
09月01日 18:48	章圣城辉	“昆山砍人案” 判决结果于海明属正当防卫。判决结果人民满意。O警方通报 ​
09月01日 18:48	风的那一边	昆山反杀哥被撤案释放了，著名死磕律师@吴国阜律师 一个小时后就帮龙哥家属想好了思路。这个故事告诉我们：死磕派真正在乎的是眼球，正义不在他们考虑的范围之内。 ​
09月01日 18:48	用户6617987095	#昆山事件属正当防卫#中国的正当防卫终于被激活了！以后就以此案为准则进行正当防卫， 希望大家多学习视频！中国法治建设进步跨越二十年！龙哥，牺牲自己带动中国法治，你值得表扬！ ​
09月01日 18:48	吴显庆教授	正当防卫典型参考案例——警方通报"昆山砍人案":骑车男行为属于正当防卫。2018年8月27日21时30分许，刘海龙驾驶宝马轿车在昆山市震川路西行至顺帆路路口，与同向骑自行车的于海明发生争执。刘海龙从车中取出一把砍刀连续击打于海明，后被于海明反抢砍刀并捅刺、砍击数刀，刘海龙身受重伤，经抢救无效死 ​ 展开全文c
09月01日 18:48	南京鼓楼司法在线	《为何"昆山反杀案"骑车男提刀追砍仍属正当防卫？检方给出4大理由》9月1日下午，昆山市公安局和检察院相继发布通报，认定于海明的行为属于正当防卫，不负刑事责任。O网页链接 ​
09月01日 18:48	金华身边事	【于海明为何属正当防卫？江苏省检给出四大理由：从正当防卫的制度价值看，应当优先保护防卫者】#昆山事件属正当防卫#9月1日，昆山公安微警务微信号公布“昆山砍人案”警方通报：砍人被反杀者刘海龙行为属于"行凶"，被砍电动车男子于海明的行为属于正当防卫！对此，江苏省检察院也给出四大理由， ​ 展开全文c
09月01日 18:48	狼猴HZJ	警方通报：“昆山砍人案”于海明行为属正当防卫，不负刑事责任👏👏O网页链接 2成都 · 人民北路 ​
09月01日 18:48	李希宁是也	【“昆山砍人案”：于海明的行为属于正当防卫】 @昆山公安 @江苏检察在线 正义不缺席，老实人不吃亏，社会才能和谐稳定！🙏🙏🙏 ​
09月01日 18:48	我是秦海	#昆山事件属正当防卫#这一次正义没有缺席，警方通报昆山龙哥案结果。根据侦查查明的事实，并听取检察机关意见和建议，依据《中华人民共和国刑法》第二十条第三款之规定，于海明的行为属于正当防卫，不负刑事责任，公安机关依法撤销于海明案件。以下是新华社通报全文O刚刚，警方通报“昆山砍人案”！ ​
09月01日 18:48	2011快乐老家	又是满满的正能量，必须点赞！！！“江苏检察在线”微信公号9月1日消息，正当防卫？防卫过当？还是故意伤害致死？备受社会舆论关注的昆山市“8.27”于海明致刘海龙死亡案有了结果。9月1日下午，昆山市公安局和检察院相继 为什么昆山骑车男属正当防卫？江苏省检给出4大理由#UC头条# O网页链接 ​
09月01日 18:48	每日经济新闻	【为什么认定于海明的行为属于正当防卫？江苏省检察院给出四大理由】正当防卫？防卫过当？还是故意伤害致死？备受社会舆论关注的昆山市“8.27”于海明致刘海龙死亡案有了结果。9月1日下午，昆山市公安局和检察院相继发布通报，认定于海明的行为属于正当防卫，不负刑事责任。案件经历了什么，有哪些你所 ​ 展开全文c
09月01日 18:47	中国知青人	正当防卫，匡扶正义，深得民心🙏为什么认定于海明的行为属于正当防卫？——关于昆山“8.27”案件的分析意见『今日头条』O网页链接 ​
09月01日 18:47	垦乡人	法治中国，公平公正，犯罪分子们该叫颤抖了，这将为我国法律提供一个新的开始，也将为全国打黑作出最好的表率。#昆山事件属正当防卫#【正当防卫！昆山警方通报：于海明属于正当防卫，不负刑事责任，详解三大主要原因】昆山警方通报：于海明行为属于正当防卫，并详解三大主要原因：①刘海龙的行 ​ 展开全文c
09月01日 18:47	ylf-sy	原标题：警方通报警方通报2018年8月27日昆山市震川路于海明致刘海龙死亡案，备受社会舆论关注。 O网页链接 ​
09月01日 18:47	兰州新闻哥	#昆山事件属正当防卫#【警方通报！昆山砍人案于海明属正当防卫，不负刑事责任】2018年8月27日昆山市震川路于海明致刘海龙死亡案，备受社会舆论关注。公安机关经过缜密侦查，并商请检察机关提前介入，现就该案件调查处理情况予以通报。于海明的行为属于正当防卫，不负刑事责任，公安机关依法撤销于海明 ​ 展开全文c
09月01日 18:47	沈阳日报	【检察院权威解读：为什么于海明反杀“宝马男”的行为属于正当防卫？】9月1日下午，昆山市公安局和检察院相继发布通报，认定于海明的行为属于正当防卫，不负刑事责任。案件经历了什么，有哪些你所不知的细节，为什么认定正当防卫，这里有江苏检察的意见和声音。O检察院权威解读：为什么于海明反杀“宝马男”的行为属于正当防卫？ via@检察日报 ​​ 展开全文c
09月01日 18:47	作家金石	刚刚，警方通报“昆山砍人案”：于海明的行为属于正当防卫 O网页链接 （使用@美篇 App创作） ​
09月01日 18:47	阿荣旗检察院	发布了头条文章：《关于江苏省昆山市“8·27”于海明致刘海龙死亡案的通报》 O关于江苏省昆山市“8·27”于海明致刘海龙死亡案的通报 ​
09月01日 18:46	天上第一牛	《正当防卫！警方认定“昆山砍人案”骑车男不负刑事责任 撤销该案》另外，于海明停止追击，返回宝马轿车搜寻刘海龙手机的目的是防止对方纠集人员报复、保护自己的人身安全，符合正当防卫的意图。O网页链接 ​
09月01日 18:46	掌舵者3333	昆山龙哥卒了，终结者于明海如亿万国人所愿正当防卫成立无罪释放了！那么我们应该反过来思考汲取血的教训，其实江苏高检提醒是对的，遇到危险最好的办法还是避让比较好，毕竟于明海的运气极其罕见的，简直就是运气王！恰好龙哥刀自个舞掉了，于明海恰好抢到了，恰好昆山龙哥的兄弟袖手旁观了，恰好昆山 ​ 展开全文c
09月01日 18:46	河北广播电视台	【警方通报“昆山砍人案”：于海明的行为属于正当防卫，不负刑事责任】警方通报↓↓↓O撤案，于海明行为属于正当防卫，不负刑事责任 警方通报“昆山砍人案” ​
09月01日 18:46	寒石逸踪	“江苏检察在线”微信公号9月1日消息，正当防卫？防卫过当？还是故意伤害致死？备受社会舆论关注的昆山市“8.27”于海明致刘海龙死亡案有了结果。9月1日下午，昆山市公安局和检察院相继 为什么昆山骑车男属正当防卫？江苏省检给出4大理由#UC头条# O网页链接 ​
09月01日 18:46	军绿色AK47	#警方通报“昆山砍人案”：于海明的行为属于正当防卫，不负刑事责任#相信中国的法律是公平的！人间正道是沧桑！O警方通报“昆山砍人案”：于海明的行为属于正当防卫，不负刑事责任 ​
09月01日 18:46	真话哥	【为什么认定“昆山砍人案”骑车男是正当防卫？检察机关发声详解！】9月1日下午，昆山市公安局和检察院相继发布通报，认定于海明的行为属于正当防卫，不负刑事责任。案件经历了什么，有哪些你所不知的细节，为什么认定正当防卫，这里有江苏检察的意见和声音。O为什么认定“昆山砍人案”骑车男是正当防卫？检察机关发声详解！ ​ http://mapi/78ed3 ​ 展开全文c
09月01日 18:46	阿鲁卡QAQ	为中国法律提供了真实例子，推动法律进程。为昆山公安点赞，龙哥也不亏为法律做出贡献 O昆山事件属正当防卫 ​
09月01日 20:59	一蛋_onegg	开学前在昆山最后一顿烤肉吃到厌食 周围每桌人几乎都在聊龙哥终结者回学校我一定要清心寡欲 抵制地校园外卖诱惑@Yooozii ​
09月01日 20:59	New-Century-Up	我大昆山因为龙哥的事情火了，收到全国人民关注，我真的是哭笑不得还好最终判处结果合情合理 ​
09月01日 20:59	汽车音乐1029	#1029微关注# 【警方通报“昆山砍人案”：于海明的行为属于正当防卫，不负刑事责任】警方通报↓↓↓ ​​​ @央视新闻 O警方通报“昆山砍人案”：于海明的行为属于正当防卫，不负刑事责任 ​
09月01日 20:59	黑龙江反邪教	【正当防卫！昆山警方通报：于海明属于正当防卫，不负刑事责任，详解三大主要原因】昆山警方通报：于海明行为属于正当防卫，并详解三大主要原因：①刘海龙的行为属于刑法意义上的“行凶”。②刘海龙的不法侵害是一个持续的过程。③于海明的行为出于防卫目的。另据昆山市人民检察院：该案处理符合 ​ 展开全文c
09月01日 20:59	吴轻飏R1	赠龙哥 当代 吴轻飏 前胸九纹龙，英勇不可负。享年三十六，毕生五入狱。提刀挥华夏，十年从未输。昆山市霸王，佳肴与美女。劫财不眨眼，杀人至麻木。宝马撞电瓶，酒后心中怒。口中爆狂言，举刀人头取。不料遇高手，奈何桥前渡。直今思海明，龙哥终结者！ ​
09月01日 20:59	GM吴文森	警方通报“昆山砍人案”：于海明的行为属于正当防卫，不负刑事责任。 2昭通 · 龙泉街区 ​
09月01日 20:59	新闻夜班车	【人民日报点赞昆山：每一次司法公正都会温润人心】“于海明的行为属于正当防卫”，众望所归！捍卫了法治，振奋了人心。激活正当防卫制度的适用，就能及时保障当事人的合法权益，有力震慑犯罪分子。法律不是镌刻在大理石上，而是铭刻在公民心中，让公民沐浴正义之光，让法治温润公民信仰。 ​
09月01日 20:59	布庶	#布庶有话说# 应全国人民的要求，昆山市公安局仅用六天时间完成了对案件的定性，27日于海明夺过凶手刘海龙手中的刀将刘海龙杀死属于正当防卫，不负刑事责任。这是一次正义的人民的胜利。在此，我们要对江苏省公安厅、苏州市公安局、昆山市公安局依人民的要求办案提出表扬！向全国人民的胜利表示祝贺！ ​
09月01日 20:59	楚天交通广播	#昆山事件属正当防卫# 【于海明为何属于正当防卫？检方详解来了】9月1日下午，昆山公安局和昆山检察院相继认定于海明的行为属于正当防卫，不负刑事责任。还原视频，看检方如何给出四大支持意见。L人民网人民电视的秒拍视频 ​
09月01日 20:59	云深阳明山	【追砍电动车主遭反杀：关键证人讲述案发全过程】9月1日，江苏省昆山市公安局副局长张刚接受今日说法采访时表明：电动车主于海明的行为属于正当防卫。昆山警方以犯罪事实不成立，撤销于海明涉嫌故意伤害一案。与刘海龙同车的刘强强和与于海明同伴的小柯，双方讲述了案发全过程。 O网页链接 ​ 展开全文c
09月01日 20:58	云在云上飘着	昆山警方对于海明案的情况说明，对为何定性为正当防卫，说理详实，具有教科书式的意义。应该为昆山警方点赞👍但我也注意到，刘海龙是甘肃人，于海明是陕西人，如果刘海龙是当地人，还会如此定性吗？ ​
09月01日 20:58	三秦青年	【警方通报“昆山砍人案”：于海明的行为属于正当防卫，不负刑事责任】警方通报↓↓↓O警方通报 ​
09月01日 20:58	芯片72	警方通报"昆山砍人案":于海明的行为属于正当防卫 不负刑事责任O警方通报“昆山砍人案”：于海明的行为属于正当防卫，不负刑事责任 真法！ ​
09月01日 20:58	做梦想人民	《警方通报“昆山砍人案”：于海明的行为属于正当防卫，不负刑事责任20180901O警方通报“昆山砍人案”：于海明的行为属于正当防卫，不负刑事责任 ​
09月01日 20:58	千百度lq	大快人心！为昆山警方点赞！『警方通报“反杀”案：于海明属正当防卫 不负刑责(含视频)_手机新浪网』O警方通报“反杀”案：于海明属正当防卫 不负刑责 ​
09月01日 20:58	陈永博	分享网易新闻 《警方通报"昆山反杀案":骑车男子的行为属正当防卫》O警方通报"昆山砍人案"：于海明的行为属正当防卫 来自@网易新闻客户端 #网易新闻# ​
09月01日 20:57	军农之声	《警方通报！昆山砍人案于海明属正当防卫，不负刑事责任》公安机关经过缜密侦查，并商请检察机关提前介入，现就该案件调查处理情况予以通报。O网页链接 ​
09月01日 20:57	大兴人空间	为什么认定“昆山砍人案”骑车男是正当防卫？检察机关发声详解！#快资讯#————————昆山砍人案，结论是正当防卫，于海明面对刘海龙的不法侵犯，奋起反击，捡起刘犯掉落的砍刀，向刘砍去，这些行动已被昆山公安局和检察院认定为正当防卫，我们为这样的判定深感振奋，这是我们法律实践中有决定意义 ​ 展开全文c
09月01日 20:57	風雨顺德人	#昆山事件属正当防卫#统计了一下最近两年网上热议的命案，辱母杀人案、保姆纵火案、两次滴滴司机奸杀乘客案、昆山打人却被反杀案，有一个共同的特点就是都与高利贷有关，辱母杀人案是借的民间高利贷，保姆借钱还赌债，两个滴滴司机都有很多网贷未还，昆山龙哥经营高利贷。珍爱生命，远离高利贷。 ​​ 展开全文c
09月01日 20:57	励志传递正能量	CCTV今日说法独家视频！警方：于海明属于正当防卫，立即释放！昆山追砍案最新进展.......O独家视频！警方：于海明属于正当防卫，立即释放！昆山追砍案最新进展....... ​
09月01日 20:57	黑龙江省公安网安总队	分享网易新闻 《警方通报"昆山反杀案":骑车男子的行为属正当防卫》O警方通报"昆山砍人案"：于海明的行为属正当防卫 来自@网易新闻客户端 #网易新闻# ​
09月01日 20:57	天天好微笑	昆山警方通报，对案发经过描述符合事实，结论合法、合情，深得民意是：“于海明的行为属于正当防卫，不负刑事责任，公安机关依法撤销于海明案件。”办案效率高，为昆山公安局、检察院工作点赞！！！ ​
09月01日 20:57	楼夹摩	昆山事件属正当防卫这个结果，普天同庆龙哥，一个底层黑社会，推动了法制建设，应该评为感动中国人物 ​
09月01日 20:57	东营中公教育	#东营身边事##公务员备考##公务员时政热点# 于海明为何属于正当防卫 这次的昆山反杀案牵动了不少网友的心 为电动车驾驶员送了一口气的同时 我们更应该认真学习法律 什么才是正当防卫？和小编一起看看法律的界定吧 ​
09月01日 20:57	lele要加油-016	我一直都相信昆山砍龙哥肯定是正当防卫，不是防卫过当，法律还是很公平公正的。 ​
09月01日 20:57	头条中山	【正当防卫！昆山警方通报：于海明属于正当防卫，不负刑事责任，详解三大主要原因】昆山警方通报：于海明行为属于正当防卫，并详解三大主要原因：①刘海龙的行为属于刑法意义上的“行凶”。②刘海龙的不法侵害是一个持续的过程。③于海明的行为出于防卫目的。另据昆山市人民检察院：该案处理符合 ​ 展开全文c
09月01日 20:56	知直祉至	必须给昆山警方一个大写的赞！真正做到秉公执法，效率也很高。 O警方:昆山男子反杀“龙哥”属正当防卫 ​
09月01日 20:56	Non-zhuangbility	昆山案画上句号了。虽然我仍坚持原先的观点，但这个结果也不坏。快刀斩乱麻，全国人民都如释重负。龙哥这个浪催的路倒尸、阎王爷预定的鬼，死了也就死了吧。毕竟哪一次造福社会的运动里，都免不了几个罪不至死但死了白死的可怜虫。想起之前开盘口，无罪赔率最高，三五年最符合预期。说明法律是专业， ​
09月01日 20:56	德宏反邪教	【于海明为何属于正当防卫？检方详解来了】9月1日下午，昆山公安局和昆山检察院相继认定于海明的行为属于正当防卫，不负刑事责任。认定依据主要有四点：1.刘海龙挑起事端、过错在先。2.于海明正面临严重危及人身安全的现实危险。3.于海明抢刀反击的行为属于情急下的正常反应，符合特殊防卫要求。4.从正 ​
09月01日 20:56	Jack_ZHG	【正当防卫应当优先保护防卫者】对于昆山“8.27”事件，江苏省检察院分析意见如下：1. 刘海龙挑起事端、过错在先；2. 于海明正面临严重危及人身安全的现实危险；3. 于海明抢刀反击的行为属于情急下的正常反应，符合特殊防卫要求；4. 从正当防卫的制度价值看，应当优先保护防卫者O为什么认定于海明的行为属于正当防卫？ —— 关于昆山“8.27”案件的分析意见 ​
09月01日 20:56	法制观察孙瑞峰	昆山龙哥案件被依法撤销 L法制观察孙瑞峰的秒拍视频 ​
09月01日 20:56	用户6465246043	警方通报"昆山砍人案":于海明的行为属于正当防卫 不负刑事责任O警方通报“昆山砍人案”：于海明的行为属于正当防卫，不负刑事责任 ​
09月01日 20:56	曾一同学	#昆山宝马龙哥被反杀#江苏昆山检察院连续发布公告与通报， 于海明（白衣哥）反杀宝马男的行为属于正当防卫，不负刑事责任天理昭昭，为江苏昆山检察院点赞@崔永元 『江苏检察在线』O为什么认定于海明的行为属于正当防卫？ —— 关于昆山“8.27”案件的分析意见 ​
09月01日 20:56	佳之川	#佳言家语# 昆山检方通报：于海明属于正当防卫，不负刑事责任，撤销该案。昆山警方通报：于海明的行为属于正当防卫，不负刑事责任，公安机关依法撤销于海明案件。主要理由：一、刘海龙的行为属于刑法意义上的“行凶”。二、刘海龙的不法侵害是一个持续的过程。三、于海明的行为出于防卫目的。 ​
09月01日 20:55	内蒙古晨报	【追砍电动车主遭反杀 关键证人讲述案发全过程】9月1日，江苏省昆山市公安局副局长张刚接受今日说法采访时表明：电动车主于海明的行为属于正当防卫。昆山警方以犯罪事实不成立，撤销于海明涉嫌故意伤害一案。与刘海龙同车的刘强强和与于海明同伴的小柯，双方讲述了案发全过程。LCCTV今日说法的秒拍视频 （ ​
09月01日 20:55	脉通创始-相少	众望所归警方通报“昆山砍人案”于海明确系为正当防卫↓↓↓O警方通报 ​
09月01日 20:55	米德卢维骑	【于海明伤情：颈部胸部两处挫伤，网传“龙哥终结者”照片并非本人】8月27日，江苏昆山宝马司机持刀追砍骑车男子，反被砍身亡。9月1日，警方通报案件中于海明为正当防卫，于海明经检查，左颈部条形挫伤1处，左胸季肋部条形挫伤1处。媒体证实网上热传的“龙哥终结者”照片为假，并非于海明本人。 ​ 展开全文c
09月01日 20:55	微观云南	【昆山事件属正当防卫！！于海明正在办理相关手续】今日，昆山警方认定于海明属于正当防卫，将立即释放。昆山警方以犯罪事实不成立，撤销于海明涉嫌故意伤害一案。 ​​​
09月01日 20:55	南通日报	发布了头条文章：《警方通报“昆山砍人案”：于海明的行为属于正当防卫，不负刑事责任》 O警方通报“昆山砍人案”：于海明的行为属于正当防卫，不负刑事责任 ​
09月01日 20:55	欢笑幸福星	欢笑一言脸皮厚，可能是小学毕业的，没多大文化，毕竟是山里娃走进大城市，没长进。【高铁霸座男笑坐轮椅，调侃昆山“龙哥”和滴滴，真拿他没辙？】#高铁霸座男笑坐轮椅# 网曝，高铁霸座男真的坐进轮椅拍了一段视频。视频中，霸座男子赤裸上身，坐在轮椅中笑着挥手，不仅喊话昆山砍人案中的“ ​ 展开全文c
09月01日 20:55	上海房多多	昆山事件属正当防卫，昆山警方做出的不负刑事责任的定论，速度之快，有点出乎我们的意料，这其中，有微博民众的公民意识、道德意识与法制意识的推动，也有昆山地方政府的负责与担当，作为全国多年来的百强县（市）老大，昆山的做法，没有让龙哥终结者，没有让全国关注此事的民众失望。昆山警方的这一定 ​ 展开全文c
09月01日 20:55	jxjjyny_976651	#新华微评#【漂亮！这是法治的胜利！】刚刚，昆山警方通报了“昆山砍人案”调查处理情况，认定于海明属正当防卫，不负刑事责任。这是法治的胜利！此案公众关注点，关键是在不法行为面前，合法权利该如何救济。事实为依据，法律作准绳。不仅于海明的合法权利得到维护，更倡导了法治思维，提升了社会法治 ​ 展开全文c
09月01日 20:55	新浪厦门	#昆山事件属正当防卫#【正当防卫！昆山警方通报：于海明属于正当防卫，不负刑事责任，详解三大主要原因】昆山警方通报：于海明行为属于正当防卫，并详解三大主要原因：①刘海龙的行为属于刑法意义上的“行凶”。②刘海龙的不法侵害是一个持续的过程。③于海明的行为出于防卫目的。另据昆山市人民 ​ 展开全文c
09月01日 20:54	jxjjyny_976651	#警察蜀黍作品##追砍电动车主遭反杀# ：《帮你解读昆山警方关于于海明致刘海龙死亡案的相关通报》 如何认定是正当防卫？都有哪些疑点得到了充分解释？你想知道的，都在这里。 ​​​ 2九江 · 庐山区 ​
09月01日 20:54	今日微博头条	【于海明为何属于正当防卫？检方详解来了】9月1日下午，昆山公安局和昆山检察院相继认定于海明的行为属于正当防卫，不负刑事责任。认定依据主要有四点：1.刘海龙挑起事端、过错在先。2.于海明正面临严重危及人身安全的现实危险。3.于海明抢刀反击的行为属于情急下的正常反应，符合特殊防卫要求。4.从正 ​ 展开全文c
09月01日 20:54	湘潭网警巡查执法	#以案析法# 【为什么认定于海明的行为属于正当防卫？ —— 关于昆山“8.27”案件的分析意见】正当防卫？防卫过当？还是故意伤害致死？备受社会舆论关注的昆山市“8.27”于海明致刘海龙死亡案有了结果。9月1日下午，昆山市公安局和检察院相继发布通报，认定于海明的行为属于正当防卫，不负刑事责任。案 ​ 展开全文c
09月01日 20:54	庄里微	【警方通报“昆山砍人案”：于海明行为属正当防卫，不负刑事责任】9月1日，@昆山公安 通报“昆山砍人案”调查处理情况，通报称于海明的行为属于正当防卫，不负刑事责任，公安机关依法撤销于海明案件。 ​​​​
09月01日 20:54	用户6379746864	警方最新通报 2018年8月27日昆山市震川路于海明致刘海龙死亡案，备受社会舆论关注。公安机关经过缜密侦查，并商请检察机关提前介入，现就该案件调查处理情况予以通报。 一、案件基本情况 2018年8月2 O网页链接 ​
