2013年01月05日 00:58	萧阅心	新闻人物：真实袁厉害(图) O网页链接 @搜狐新闻客户端。 望世间多些像袁这样的爱心人士！ ​
2013年01月14日 12:36	想记得0709	新华社：地方政府没资格对袁厉害说三道四 O新华社：地方政府没资格对袁厉害说三道四 （分享自 @头条新闻） 在质问别人时，先想想自己能否做到 ​
2013年01月14日 12:36	淡如茶1108688687	【袁厉害收养弃婴与夫分居15年】 O网页链接 (@掌中新浪) ​
2013年01月14日 12:33	邢xza	O《看见》 20130113 兰考弃儿_在线播放_联合传播_百度台看这个袁厉害的视频，三次落泪，太感人了 ​
2013年01月14日 12:31	喵在深处	说这样的话, 要不要被控制?//21CN.COM：【袁厉害：政府不管的弃婴 我还会继续收养】原标题：袁厉害：政府不管的弃婴我还会继续收养11日晚，袁厉害讲了一个多小时的话，姐姐递水给她，让她注意身体。小绺摄■人物印象1月11日，是兰考大火中失去性... O袁厉害：政府不管的弃婴 我还会继续收养 - 滚动新闻 - 21CN.COM （分享自 @21CN新闻） ​
2013年01月14日 12:30	昭通市曙光青少年之家	向含辛茹苦、平凡中伟大的袁厉害妈妈致敬！ ​
2013年01月14日 12:29	天朝无敌小霸王	兰考县长回应无福利院却斥资两千万盖楼质疑 O兰考县长回应无福利院却斥资两千万盖楼质疑 （分享自 @头条新闻）看的我都流眼泪了，孩子真懂事，袁厉害真好人，ZF真不是东西。 ​
2013年01月14日 12:29	爱怡萱	袁厉害：扔小孩的不犯法，相关部门不管不犯法，我拾了反倒犯法？我要不收养他们，饿死冻死了犯法不……做事凭良心，我养活这五六十个孩子，都叫我妈；邻居、网上都说我是好人；这么一辈子，就是马上死了，也值了 ​
2013年01月14日 12:26	温亚城	这个访谈新闻昨晚我看了【袁厉害:政府不管的孩子我收养】 O袁厉害讲述收养弃婴经历:曾为弃婴舍下满月儿子 分享自@百度新闻 ​
2013年01月14日 12:22	_唐建英_	袁厉害因收养弃婴与丈夫分居15年 儿子难娶媳妇 O袁厉害因收养弃婴与丈夫分居15年 儿子难娶媳妇 （分享自 @头条新闻） ​
2013年01月14日 12:19	笑对夕阳	“爱自己的孩子是人，爱别人的孩子是神”。袁厉害是好人，是一个善良的人，是世界上最伟大的母亲。 ​
2013年01月14日 12:18	一格一如	午间的时候，完整地看了新浪关于兰考火宅孤儿遇难的报导。整个漫长的袁厉害领养生涯，这里几乎看不到政府的影子，也就是说，政府压根就不管，但是他们又限制私人领养，自己不做的事情，还限制别人做，这里毫无温情可言。兰考的那个分管的副县长，在镜头面前装可怜，装自责，令人作呕！ ​
2013年01月14日 12:17	螺旋上升	“扔小孩的不犯法，政府的人不管不犯法，我拾了反倒犯法？我要不收养他们，饿死冻死了犯法不？”——【河南兰考“爱心妈妈”袁厉害称，以后民政部门不管的孩子，还会继续收养。她的发问拷问我们每个人的良心。】前段日子，记得看见一篇描述有关袁厉害及相关事件的文章，标题为“肉身佛”，深深认同！ ​
2013年01月14日 12:17	标Coyote	袁厉害因收养弃婴与丈夫分居15年 儿子难娶媳妇 O袁厉害因收养弃婴与丈夫分居15年 儿子难娶媳妇 （分享自 @头条新闻） ​
2013年01月14日 12:13	心海时空吉剑官微	为什么必须声援袁厉害？ O网页链接 ​
2013年01月14日 12:11	辅霖	袁厉害：“政府不管的，我还会继续收养” - 1月11日，是兰考大火中失去性命的7名弃婴的“头七”。收养他们的袁厉害在医院的病床上躺了6天了。她自称是个“直率”的人，情绪转变很快，时而捶胸顿足，时而爽朗大笑。 O袁厉害：“政府不管的，我还会继续收养”_社会_南都网 ​
2013年01月14日 12:00	一脸坏笑的围脖	袁厉害：扔小孩的不犯法，政府的人不管不犯法，我拾了反倒犯法？我要不收养他们，饿死冻死了犯法不……做事凭良心，判刑他就判，他判我就去，我养活这五六十个孩子，都叫我妈；邻居、网上都说我是好人；这么一辈子，就是马上死了，也值了。 ​
2013年01月14日 12:00	正和岛标准	【袁厉害：政府不管的，我还会继续收养】扔小孩的不犯法，政府的人不管不犯法，我拾了反倒犯法？我要不收养他们，饿死冻死了犯法不……做事凭良心，判刑他就判，他判我就去，我养活这五六十个孩子，都叫我妈；邻居、网上都说我是好人；这么一辈子，就是马上死了，也值了。 @中国江苏网 ​
2013年01月14日 14:59	梅香书屋张老师	袁厉害，感动了许多人！ ​
2013年01月14日 14:57	那些年的暖色青春	看了关于袁厉害的新闻，我不得不说这个社会只有少数的人拥有爱心。想想现在很多人养个宠物花的钱都够养活几个弃婴了吧，难道救活几条人命都不去养个宠物玩玩嘛？ ​
2013年01月14日 14:57	多元相对论	#正能量#【政府不管，我还会管】“做事凭良心，我不恨那些质疑我的人，政府不管那我还是像以前一样继续收养，我不能看着一个小生命死了。”兰考大火中失去性命的7名弃婴的“妈妈”袁厉害，讲述20多年收养弃婴经历……愿好人一生平安！ ​
2013年01月14日 14:55	范否_	《看见》兰考弃儿。柴静问袁厉害养子袁松，你觉得她给了你什么，这个20岁的胖小子回答“她让俺有个妈。其他都不重要了。”对一群被遗弃过一次的孩子，袁厉害存在的意义，可想而知。节目最让人动容的，还有小女孩袁袁，因弟弟妹妹在福利院玩得很开心，她发火了，怕他们忘了妈妈。 O网页链接 ​
2013年01月14日 14:54	世态言亮	不再让收养成“痛”袁厉害大姐真心让人佩服 ​
2013年01月14日 14:54	嘣噔你个嘣噔吖	袁厉害你真厉害……除了养大结婚的还有39个弃婴被她收养。 ​
2013年01月14日 14:54	历史微观	【支持袁厉害当选感动中国十大人物的，请转发】袁厉害，一个农村妇女，其光辉事迹如下：1.20多年如一日，收养了100多名弃儿。2.为更好地照顾这些孩子，牺牲家庭幸福，自己多少年没添过一件新衣服，把自己的七处宅子换成两层小楼。3.对孩子们倾注了无限的爱。4.让孩子们有机会接受教育……@薛蛮子 ​
2013年01月14日 14:53	有版有眼-新安晚报社	一条“借孤儿应付上级检查”的微博，让人们把目光从河南兰考“袁厉害事件”转向广东揭阳。而临时“借孤”的荒诞源头，是揭阳市榕城区福利院1995年已建成主体大楼却被挪用而沦为“空壳”，导致当地115个孤儿一直散落在寺庙和居民家里。到底是缺钱还是缺乏担当？ O网页链接 ​
2013年01月14日 14:51	上海张祖健	正在看央视采访兰考袁厉害的电视片。袁厉害，一个农村妇女，却是人间菩萨。她，还有天津的白芳礼老人，深深感动我。袁厉害，能入选感动中国的人么？ ​
2013年01月14日 14:50	新浪安徽教育频道	袁厉害：扔小孩的不犯法，政府的人不管不犯法，我拾了反倒犯法？我要不收养他们，饿死冻死了犯法不……做事凭良心，判刑他就判，他判我就去，我养活这五六十个孩子，都叫我妈；邻居、网上都说我是好人；这么一辈子，就是马上死了，也值了。via@南方人物周刊 ​
2013年01月14日 14:50	i致虚极守静笃i	袁厉害 厉害 佩服 我们这些人该反思的地方太多了 做不到她那样 让我们又点爱心好吗？ 让冷漠远离我们 ​
2013年01月14日 14:48	传统文化挖掘者	【广东揭阳福利院被挪作宿舍 115个孤儿散落民间】据新华社电一条“借孤儿应付上级检查”的微博，让人们把目光从兰考“袁厉害事件”转向广东省揭阳市。记者调... --分享@新闻用针眼 微刊《前沿资讯》里的文章 O广东揭阳福利院被挪作宿舍 115个孤儿散落民间 ​
2013年01月14日 14:44	毁灭三	袁厉害 ​
2013年01月14日 14:44	假装没事儿了	袁厉害如果不入选2012感动中国第一人，那感中国就是个垃圾节目！！！ ​
2013年01月14日 14:43	Aimee李杨璐	看袁厉害的新闻，面对面那个节目，把我看哭了好人一生平安感动[爱心传递]这些都是大爱！ ​
2013年01月14日 14:42	做个听话的女孩子	袁厉害，收养之痛。 ​
2013年01月14日 14:42	彭程1992	分享自柴静《兰考弃儿》- O兰考弃儿... “当地政府说，袁厉害如果将来想办一家民间收养机构，可以一起来讨论和商量民办公助的方式，如果她个人愿意，在能力范围内也可以个人收养几位已经有感情的孩子。”袁的收养虽然不合条件，但这和政府的“默许”脱不了干系，不能只让个人担责。@tsunham ​
2013年01月14日 14:40	围紫	袁厉害：“扔小孩的不犯法，政府的人不管不犯法，我拾了反倒犯法？我要不收养他们，饿死冻死了犯法不？” ​
2013年01月14日 14:39	啭裑蓠麴	袁厉害收养弃婴与夫分居15年 丈夫都跟我分居闹离婚了，我要是图钱公安局枪毙我。 O网页链接 @搜狐新闻客户端 ​
2013年01月14日 14:37	MR坏男人	袁厉害的悲剧与政府的不作为,政府，您在干嘛呢？陈光标，您又在干嘛呢？是不是给有钱人捐车子重要，还是这些生命重要？ ​
2013年01月14日 14:34	立希望	新华社：地方政府没资格对袁厉害说三道四 O新华社：地方政府没资格对袁厉害说三道四 （分享自 @头条新闻） ​
2013年01月14日 14:32	云端霏宏	发表了博文 《眼神》 - 人有很多眼神，大的，小的，长的，短的，正的，斜的。它们表示和传达的意思各不相同。 今天，我看到了一个眼神，那是在采访袁厉害事件中出现的。保姆说，你能帮助我么？柴静说，尽 O眼神... ​
2013年01月14日 14:29	跳跳虎明	女婿眼中的袁厉害：就算担责，也要从轻 O网页链接 (分享自ZAKER) ​
2013年01月14日 14:28	武官人	做坏事犯法，做好事也犯法！这到底是个什么样的社会！大家说说袁厉害有没有资格竞选感动中国十大人物. O查看更多 ​
2013年01月14日 14:27	装的很内涵	[袁厉害收养弃婴20年：曾想办一个孤儿院] ​
2013年01月14日 14:25	毛毛樱桃	昨天看央视，忽然很赞赏和同情袁厉害。政府不去作为的事情，人家无私地做了，能力有限，条件有限没能做好，就要面临各种指责…怎么有种同命相怜的感觉。 ​
2013年01月14日 14:21	豆浆牛奶浣西纱	袁厉害，你怎么看？真特么心痛。无奈的心痛。 ​
2013年01月14日 14:21	带脸谱的猫	袁厉害：扔小孩的不犯法，政府的人不管不犯法，我拾了反倒犯法？我要不收养他们，饿死冻死了犯法不……做事凭良心，判刑他就判，他判我就去，我养活这五六十个孩子，都叫我妈；邻居、网上都说我是好人；这么一辈子，就是马上死了，也值了。 ​
2013年01月14日 14:16	王家-军	新华社：地方政府没资格对袁厉害说三道四 O新华社：地方政府没资格对袁厉害说三道四 （分享自 @头条新闻） ​
2013年01月14日 14:15	大豫直播	张喜梅说，我说了你能帮我么 柴静，尽可能把 张喜梅，你再帮我找个孙子孙女吧，你能帮得了么 柴静一脸茫然 张喜梅语毕，泣不成声 你觉得袁厉害给你的最重要的东西是什么？成年的孤儿说，她让我有个妈，都这。（照片右边站立男孩20岁） 袁厉害自己说，我也不知道自己是个什么东西 O《看见》 20130113 兰考弃儿_看见_中国网络电视台 ​
2013年01月14日 14:13	香港另類人	此照片送给袁厉害女士以表敬意！感谢图片拍摄者和书法家姚景林先生！ 中国60万孤儿政府收养不足11万， 民政部承认疏漏 “疏漏”？11万与60万，这是“疏漏”吗？要知道，无耻终会有报应的！ ​
2013年01月14日 14:11	MooN_牟	1月4日，河南兰考，一场大火，7个孩子的生命。 非法收养？骗取低保？卖孩子牟利？23年来收养100多个孩子的母亲袁厉害，饱受质疑。政府做了什么，又没做什么？袁厉害是否将面临司法审判？幸存的孩子们将何去何从，他们能否再回到妈妈的身边？《新闻当事人》还原一个真实的袁厉害！O为您还原一个真实的袁厉害 ​
2013年01月14日 14:10	湘豫木子	发表了博文 《“政府不管，犯法不！”》 - “政府不管，犯法不！” 一场大火，把河南兰考的普通妇女袁厉害烧出了名。这个大字不识几个的家庭妇女，在接受记者采访时，说出话来掷地有声，令人深思。 袁厉 O“政府不管，犯法不！... ​
2013年01月14日 14:10	xissy	真的现在是不是政府看不惯别人做好事，有人做好事就是炒作骗钱，HZ！ // #我在看新闻# 《【人物志】弃婴背后的善人》 袁厉害因自费收养弃婴被赞“爱心妈妈”，也被指责“骗低保”。 O网页链接 ​
2013年01月14日 14:09	沙漠中d绿洲	袁厉害收养弃婴与夫分居15年 丈夫都跟我分居闹离婚了，我要是图钱公安局枪毙我。 O网页链接 ​
2013年01月14日 14:09	央视新闻	【如何打破“爱心困局”？】收养被叫停,袁厉害的眼泪背后,是我国民间孤儿院“不出事自生自灭，出事后一散了之”的尴尬现实。无身份、缺资金是它们的主要困境，“是否合法”是它们命运的分水岭。只有政府告别懒政，制定民间爱心准入标准，为不达标机构提供支持体系，爱心困局才能被打破。（中国青年报） ​
2013年01月14日 14:06	头条博客	【柴静：调查河南兰考县火灾事件】1月4号，这里发生了一场火灾，这个火灾发生的时候，屋子里面有8个孩子，其中只有一位逃生，其他七位遇难，这8个孩子曾经都是被遗弃的婴儿，他们被一个叫袁厉害的人收养在此地。我们在医院见到了袁厉害。一见面，她抱着记者哭泣起来……全文：O兰考弃儿... ​
2013年01月14日 14:05	木子李愉快	袁厉害：扔小孩的不犯法，政府的人不管不犯法，我拾了反倒犯法？我要不收养他们，饿死冻死了犯法不……做事凭良心，判刑他就判，他判我就去，我养活这五六十个孩子，都叫我妈；邻居、网上都说我是好人；这么一辈子，就是马上死了，也值了。 ​
2013年01月14日 14:04	贫民李四	#孤儿~袁厉害#孩子亲生父母丢弃自己骨肉时已沦为野兽，不能算作“人”！兰考政府花费数千万修筑机关大楼却放弃自己应尽的社会责任时，领导们是否知道袁厉害带着这许多孩子的苦难生活？他们肯定知道，只是不想知道而已！ ​
2013年01月14日 14:04	Jimmy泰龙	什么叫活菩萨？她就是！突然很想骂女主持人！袁厉害收养弃婴与夫分居15年 丈夫都跟我分居闹离婚了，我要是图钱公安局枪毙我。 O网页链接 @搜狐新闻客户端 ​
2013年01月14日 14:02	湖南卫视新闻当事人	河南兰考，一场大火，7个孩子的生命。 非法收养？骗取低保？卖孩子牟利？23年来收养100多个孩子的母亲袁厉害，饱受质疑。 兰考大火之后，袁厉害首次接受湖南卫视独家专访。 一场大火究竟烧出了什么？1月12日晚18:00《新闻当事人》为您还原一个真实的袁厉害！O为您还原一个真实的袁厉害 ​
2013年01月14日 14:00	斯卡2013	新华社：【地方政府没资格对袁厉害说三道四】4日发生在河南兰考的一把大火，吞噬了7条可怜的小生命，烧出了世间百态、人间炎凉。有人想办法推卸责任，有人想对袁厉害泼脏水。记者认为，没人有资格对袁厉害说三道四，否则只会让自己更渺小。地方政府部门没资格。 O新华社：地方政府没资格对袁厉害说三道四 ​
2013年01月14日 14:00	惊羡一瞥	【东方今报记者探访袁厉害 聆听“爱心妈妈”心声——“孩子跟着政府比跟着我强，政府力量大。”】“孩子跟着政府比跟着我强，政府力量大。”袁厉害说，但她又有几分不舍，和孩子们在一起的这些年，血浓于水的亲情早已成了她生命的支撑。 —今报网 O今报记者昨探访袁厉害 聆听“爱心妈妈”最近心声—今报网 ​
2013年01月14日 14:00	sophya_ED	央视新闻周刊：袁厉害的悲剧与政府的不作为 - 高清在线观看 - 腾讯视频 O央视新闻周刊：袁厉害的悲剧与政府的不作为 现在的政府就这么无情无义，连一个农村妇女都比政府好！ ​
2013年01月14日 18:59	皮蛋-的微博	有几点看法，一是在兰考火灾报道中，怎么拷问民政福利机制都不为过，但不要神化袁厉害。二是在湖南唐慧报道中，怎么争议劳教制度都不为过，但要充分尊重当事人感受。 ​
2013年01月14日 18:59	Asphodel_Y	【袁厉害收养弃婴与夫分居15年】 O网页链接 (@掌中新浪) ​
2013年01月14日 18:53	嘀嘀-学生卡	分享自柴静 《兰考弃儿》 - 就向袁厉害求证。 柴静&#65306;之前媒体有一些说法&#65292;说你原来养不了孩子的时候&#65292;让别人收养了&#65292;然后对方会给一些钱... (来自 @头条博客) - O兰考弃儿... @mark ​
2013年01月14日 18:52	浩悦资本CEO-刘浩	震撼人心的照片。袁厉害：毁誉之间 O网页链接 分享自 @南都DAILY HD for iPad O网页链接 ​
2013年01月14日 18:52	啁小呗	是是非非，亲历者最有发言权【多面袁厉害 O网页链接 】(分享自ZAKER安卓手机版) ​
2013年01月14日 18:51	浩-德莱耀希	马可·波罗说“在那国里有许多贫穷妇女养活不起婴孩，出生后就把他弃了，国王把这些小孩放在各处，预备许多乳母来抚养他们…照这法子，每年国王抚养成人童男童女约二万人。”马可·波罗讲述的“那国”就是南宋，“国王”即南宋君主，抚养弃婴或孤儿的机构叫“慈幼局”有感于袁厉害 ​
2013年01月14日 18:51	费费catnyF	现在最关注袁厉害和这些孩子们以后会继续在一起么？ 《兰考县长回应两千万盖楼质疑》 (来自 @手机新浪网) O兰考县长回应无福利院却斥资两千万盖楼质疑 ​
2013年01月14日 18:50	激动网络	【广东揭阳福利院被挪做宿舍 115个孤儿散落民间 】据新华社电，让人们把目光从兰考“袁厉害事件”转向广东省揭阳市。记者调查发现，“借孤儿”的荒诞源头，是当地政府福利院1995年已建成主体大楼却被挪作他用沦为“空壳”，导致当地115个孤儿一直散落在寺庙和居民个人家庭里。 O广东揭阳福利院被挪做宿舍 115个孤儿散落民间 ​
2013年01月14日 18:47	花羽千树	也许是年纪愈大 反而愈加脆弱了 我不为袁厉害而伤心 只为祈求所有的人们能够多一份博爱与公德 唤醒我们的民族自觉 这便是大善了 上天也会保佑善良的人们的 兰考县长回应无福利院却斥资两千万盖楼质疑 O兰考县长回应无福利院却斥资两千万盖楼质疑 （分享自 @头条新闻） ​
2013年01月14日 18:45	地球人很可怕	【袁厉害：“政府不管的，我还会继续收养”】记者：民政局曾说你是非法收养？袁：扔小孩的不犯法，政府的人不管不犯法，我拾了反倒犯法？我要不收养他们，饿死冻死了犯法不？记者：在你看来，这么多年来政府为啥不主动救助这些孩子？袁：可能是因为忙吧，领导们工作都忙。新京报 ​
2013年01月14日 18:43	幸福永恒的爱2011	袁厉害称想去应聘兰考福利院继续照顾孩子 O袁厉害称想去应聘兰考福利院继续照顾孩子 （分享自 @头条新闻） ​
2013年01月14日 18:42	yybh万花筒	袁厉害准备把低保还给政府：孩子没了 留着没用-O网页链接 ​
2013年01月14日 18:40	财经中国	【盘点各国收养制度：俄罗斯给予税收优惠】近日，“爱心妈妈”袁厉害开办的民间孤儿抚养机构中一场意外火灾，致七名儿童罹难，我国的孤儿收养制度再次引起广泛关注。据统计中国现在官方福利院收养的孤儿仅占不到20%。那么在国外，儿童收养问题的法律体系和现状又是怎样的呢?O网页链接 ​
2013年01月14日 18:33	哈根达酥	分享自柴静 《兰考弃儿》 - 就向袁厉害求证。 柴静&#65306;之前媒体有一些说法&#65292;说你原来养不了孩子的时候&#65292;让别人收养了&#65292;然后对方会给一些钱... (来自 @头条博客) - O兰考弃儿... ​
2013年01月14日 18:31	天丫女人坊	分享自柴静 《兰考弃儿》 - 就向袁厉害求证。 柴静&#65306;之前媒体有一些说法&#65292;说你原来养不了孩子的时候&#65292;让别人收养了&#65292;然后对方会给一些钱... (来自 @头条博客) - O兰考弃儿... ​
2013年01月14日 18:29	英腾教育-考试宝典	【袁厉害：政府不管的孩子我会继续收养】河南兰考弃婴收养者袁厉害称，以后民政部门不管的孩子，还会继续收养，“扔小孩的不犯法，政府的人不管不犯法，我拾了反倒犯法？我要不收养他们，饿死冻死了犯法不？”袁厉害称火灾前曾欲送6人到福利院，手续麻烦没送成，其中2个孩子丧生。 ​
2013年01月14日 18:25	格桑Shine	看见网上报道河南兰考县袁厉害二十多年间收养一百多个孩子,对于他的各种评论我不加说明,我只想说我是个农村出来的人,平常一个壮劳力养一家人都吃力,一个女人养嫩么多的孩子,不为钱,不为利,到头来被舆论推向风口浪尖,做为那些评论他的人,摸着你的良心说,你有资格吗,一些所谓的专家,教授评论说法头头是道 ​
2013年01月14日 18:19	candy是巨蟹座	分享自柴静 《兰考弃儿》 - 就向袁厉害求证。 柴静&#65306;之前媒体有一些说法&#65292;说你原来养不了孩子的时候&#65292;让别人收养了&#65292;然后对方会给一些钱... (来自 @头条博客) - O兰考弃儿... ​
2013年01月14日 18:07	1768096810_539	袁厉害因收养弃婴与丈夫分居15年 儿子难娶媳妇 O袁厉害因收养弃婴与丈夫分居15年 儿子难娶媳妇 （分享自 @头条新闻） ​
2013年01月14日 18:05	西游记看客	分享自柴静 《兰考弃儿》 - 就向袁厉害求证。 柴静&#65306;之前媒体有一些说法&#65292;说你原来养不了孩子的时候&#65292;让别人收养了&#65292;然后对方会给一些钱... (来自 @头条博客) - O兰考弃儿... ​
2013年01月14日 18:05	烂铁兑糖	柴静：为什么两千万可以给财政部门建中心，却不能给弃婴一个福利中心？如今，收养着18名弃婴的袁厉害不仅受到警方的调查，而且遭到舆论的广泛质疑。在镜头前，袁厉害抱着柴静痛哭，孩子们和妈妈站在一起给予支持。这场灾难中，袁厉害收养争议真相究竟如何？O《看见》 20130113 兰考弃儿_看见_中国网络电视台 ​
2013年01月14日 18:04	tommy兴兴	分享新闻 《兰考袁厉害收养弃婴20年》 O袁厉害收养弃婴20年：曾想办一个孤儿院 ​
2013年01月14日 18:03	这个彪悍男人竟然	分享自柴静 《兰考弃儿》 - 就向袁厉害求证。 柴静&#65306;之前媒体有一些说法&#65292;说你原来养不了孩子的时候&#65292;让别人收养了&#65292;然后对方会给一些钱... (来自 @头条博客) - O兰考弃儿... ​
2013年01月14日 18:01	超级奶爸的高招	袁厉害：扔小孩的不犯法，政府的人不管不犯法，我拾了反倒犯法?我要不收养他们，饿死冻死了犯法不……做事凭良心，判刑他就判，他判我就去，我养活这五六十个孩子，都叫我妈;邻居、网上都说我是好人;这么一辈子，就是马上死了，也值了。 ​
2013年01月14日 18:00	zssonson	我参与了@中国新闻网 发起的投票【微调查：袁厉害是否应该入刑，你怎么看？】，我投给了"伟大爱心妈妈，没人有资格对其说三到四！"这个选项。你也快来表态吧：O微调查：袁厉害是否应该入刑，你怎么看？ ​
2013年01月14日 20:57	临江蓑笠翁	发表了博文 《《袁厉害列传》网友戏作，以存天地正气！》 - 袁厉害者，豫州兰封人也。其先名凤英，少时无忌傻狂，更名厉害。尊周礼，成村妇，育二子一女。 岁至丙寅，于兰封县太医馆前驻摊贩食。某日，医官 O《袁厉害列传》网友戏... ​
2013年01月14日 20:53	家家sunny_	分享自柴静 《兰考弃儿》 - 了这个家属楼给她。外界对于袁厉害的传言一直很多&#O网页链接amp;#65292;有人举报袁厉害有买卖孩子盈利的行为&#65292;在这样的... (来自 @头条博客) - O兰考弃儿... ​
2013年01月14日 20:52	如兰似桂	她有责任也是政府的不作为造成的吧 那么孩子政府都不用管的吗 O查看更多 //回复@蔚蓝多:大家说说袁厉害有没有资格竞选感动中国十… O查看更多 ​
2013年01月14日 20:52	临江蓑笠翁	发表了博文 《《兰考---袁厉害赋》——真英雄无名氏作》 - 处中原之腹地兮，位汴京之东邻； 　　彰焦生至贯耳兮，未开化于当今； 　　知沙丘始易治兮，惟心贪难满齐； 　　有村妇唤凤英兮，代民政赎善心 O《兰考---袁厉害赋... ​
2013年01月14日 20:52	China_Is_Different中外大不同	“袁袁：不知道。反正我觉得，她(袁厉害)喜欢我们，才跟我们在一块。 柴静：你怎么感觉到她喜欢你呢？ 袁袁：因为我喜欢她。” O网页链接 ​
2013年01月14日 20:51	沈嘉禄1001	袁厉害事件后又曝丑闻，广东揭阳一政府福利院被挪作他用，115个孤儿一直散落寺庙和居民个人家中，民政局为应付上面检查，拟向寺庙借孤儿。寺庙主持66岁，患癌症，担心自己身后这些孤儿无人照料。 ​
2013年01月14日 20:49	快开门查水表了	袁厉害传|微刊 - 悦读喜欢 O袁厉害传 ​
2013年01月14日 20:47	柯建锋	袁厉害：孩子们都是在好心人的帮助下，才养大的。我希望他们能报效国家，多做好事。 ​
2013年01月14日 20:44	笑古道西风	袁厉害可能面临“坐牢”，她在牢里只能叫“厉害，厉害。” 洪道德们有没有想过贪官们的"道德“何在，良心何在，他们严重渎职应该坐几年牢。袁厉害的哥哥叫袁大口，可惜他不是袁大头，可惜她成了冤大头。 ​
2013年01月14日 20:41	TangSkywalker	袁厉害。 ​
2013年01月14日 20:39	WOWOW时光	扔小孩的不犯法，政府的人不管不犯法，我拾了反倒犯法？我要不收养他们，饿死冻死了犯法不？”——河南兰考“爱心妈妈”袁厉害称，以后政府不管的孩子她还会是像以前一样继续收养，但会让民政局和派出所办收养手续。 ​
2013年01月14日 20:36	快乐轩渠霞	袁厉害是个失去自我的大好人啊！ ​
2013年01月14日 20:31	andylv1124	分享自柴静 《兰考弃儿》 - 到福利院。袁厉害去开封考察之后对条件表示满意&#O网页链接amp;#65292;却又不愿意了。 【采访福利院院长】 王院长&#65306;我曾经和... (来自 @头条博客) - O兰考弃儿... ​
2013年01月14日 20:30	中国民生网	【兰考孤儿所创办人曾带孩子闹事 向领养人收费】1月4日8时许，河南兰考县一收养孤儿和弃婴的私人场所发生火灾。据民警介绍，起火地点为兰考人袁厉害家。据了解，袁厉害多年来一直在兰考县人民医院门口摆摊，以收养弃婴和孤儿出名。目前，火灾已造成7人死亡，具体伤亡人数和事发原因正在调查之中。 ​
2013年01月14日 20:29	冇人再叫我老四	分享自柴静 《兰考弃儿》 - 就向袁厉害求证。 柴静&#65306;之前媒体有一些说法&#65292;说你原来养不了孩子的时候&#65292;让别人收养了&#65292;然后对方会给一些钱... (来自 @头条博客) - O兰考弃儿... ​
2013年01月14日 20:28	跟班儿打酱油君	#兰考弃婴#袁厉害事件，看了可怜的孩子们，看了袁厉害大姐，有时候想想，这个社会，真的不知道我们是该做个好人还是该做个坏人！O[看见]兰考弃儿(20130113)_新闻频道_央视网 ​
2013年01月14日 20:26	挣钱盖屋_407	耶稣重生也不过是做到袁厉害的程度！ 我想是有些人该死更是有些制度该死！ ​
2013年01月14日 20:21	2016开心果儿	看了柴静《看见》中采访的爱心妈妈袁厉害之后，又搜了好些她主持的《看见》，利落短发，语调平和，眼神锐利，头脑清晰，既是主持人，又是记者~好主持，好记者，好节目~ ​
2013年01月14日 20:19	温州毒舌	【支持袁厉害当选感动中国十大人物的，请转发】袁厉害，一个农村妇女，其光辉事迹如下：1.20多年如一日，收养了100多名弃儿。2.为更好地照顾这些孩子，牺牲家庭幸福，自己多少年没添过一件新衣服，把自己的七处宅子换成两层小楼。3.对孩子们倾注了无限的爱。4.让孩子们有机会接受教育 ​
2013年01月14日 20:16	动次大刺刘嗨森	在整个社会道德缺失的大潮中。每年非找那麽几个人疯狂报道。用来证明社会的正面力量。这不是打自己嘴巴吗。假设人人尊纪守法乐于助人。评选的该是违法犯罪人物吧。乡村医生亦然。地区医疗越落后。你越称赞。我无话可说了。可怜了这些人。要我评感动人物。我选袁厉害。可现在你们还要治她罪。 ​
2013年01月14日 20:16	仁者悦山	南方都市报:【袁厉害：“政府不管的，我还会继续收养”】记者：民政局曾说你是非法收养？袁：扔小孩的不犯法，政府的人不管不犯法，我拾了反倒犯法？我要不收养他们，饿死冻死了犯法不？记者：在你看来，这么多年来政府为啥不主动救助这些孩子？袁：可能是因为忙吧，领导们工作都忙。 ​
2013年01月14日 20:13	erniu1	柴静问兰考县长为什么可以花两千万给财政部门建一个中心，却没有去给弃婴去建一个福利中心？县长答钱是一个条件，但是制度更是一个条件，没国家规划，项目就批不下来。如果谴责制度袁厉害收养的百名弃婴早就死干净了！这就是某些官员与人民群众的差距，巨大啊！向厉害学学吧— ​
2013年01月14日 20:12	淯水涟漪	【广东揭阳福利院被挪做宿舍 115孤儿散落民间】一条“借孤儿应付上级检查”的微博，让人们把目光从兰考“袁厉害事件”转向广东省揭阳市。记者调查发现，“借孤儿”的荒诞源头，是当地一所政府福利院1995年已建成主体大楼却被挪作他用沦为“空壳”，导致当地115个孤儿一直散落在寺庙和居民个人家庭里。 ​
2013年01月14日 20:09	意气书生2011	分享自柴静 《兰考弃儿》 - 就向袁厉害求证。 柴静&#65306;之前媒体有一些说法&#65292;说你原来养不了孩子的时候&#65292;让别人收养了&#65292;然后对方会给一些钱... (来自 @头条博客) - O兰考弃儿... ​
2013年01月14日 20:07	Endo_王小斌	袁松，20岁，也是被袁厉害收养的，当被柴静问道：“你觉得她给你最重要的东西是啥？”，袁松回答道：“她叫我有个妈，就这样，其他的都不重要，其他的都不重要。” ​
